"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","11-MAY-17","10-MAY-17","15:44:00Z","MELBOURNE","FLORIDA","UNITED STATES","AIRCRAFT PROPELLER SEPARATED FROM FUSELAGE DURING FLIGHT OVER OCEAN, LANDED WITHOUT INCIDENT, MELBOURNE, FL","INCIDENT","ORLANDO","N743J","","","EXPERIMENTAL JABIRU","J230SP","No","UNKNOWN","UNKNOWN","UNKNOWN (UNK)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAY-17","10-MAY-17","15:50:00Z","CARBONDALE","ILLINOIS","UNITED STATES","AIRCRAFT ON LANDING WENT OFF RUNWAY INTO GRASS AND STRUCK A LIGHT, CARBONDALE, IL","INCIDENT","SPRINGFIELD IL","N6317D","CBN317D","","CESSNA","C172","No","NONE","INSTRUCTION","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAY-17","10-MAY-17","20:30:00Z","VEVAY","INDIANA","UNITED STATES","N428JG ROBINSON R44 ROTORCRAFT, DURING AERIAL APPLICATION, STRUCK A POWERLINE AND FORCE LANDED IN A FIELD, NEAR VEVAY, IN","INCIDENT","INDIANAPOLIS","N428JG","","","ROBINSON","R44","No","UNKNOWN","AERIAL APPLICATION","UNKNOWN (UNK)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAY-17","10-MAY-17","21:40:00Z","BERRYVILLE","TEXAS","UNITED STATES","AIRCRAFT ON LANDING WENT OFF THE RUNWAY AND STRUCK TREES, AERO ESTATES AIRPORT, BERRYVILLE, TX","INCIDENT","FORT WORTH","N34207","","","CESSNA","C177","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-MAY-17","11-MAY-17","21:20:00Z","OSHKOSH","WISCONSIN","UNITED STATES","AIRCRAFT ON LANDING GROUND LOOPED, OSHKOSH, WI","INCIDENT","MILWAUKEE","N9089B","","","CHAMPION","7EC","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-MAY-17","10-MAY-17","20:30:00Z","JACKSON","MICHIGAN","UNITED STATES","AIRCRAFT ON APPROACH STRUCK A BIRD AND SUSTAINED UNKNOWN DAMAGE, LANDED WITHOUT INCIDENT, JACKSON, MI","INCIDENT","GRAND RAPIDS","N711FA","","","BEECH","BE55","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-MAY-17","10-MAY-17","17:10:00Z","MARATHON","FLORIDA","UNITED STATES","AIRCRAFT ON LANDING, NOSE GEAR COLLAPSED, MARATHON, FL","INCIDENT","FORT LAUDERDALE","N941CS","","","CIRRUS","SR22","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-MAY-17","11-MAY-17","20:55:00Z","SEWARD","ALASKA","UNITED STATES","AIRCRAFT DURING TAXI SUSTAINED SUBSTANTIAL DAMAGE, SEWARD, ALASKA","ACCIDENT","ANCHORAGE","N1258C","","","PIPER","PA18","No","SUBSTANTIAL","UNKNOWN","TAXI (TXI)","","MINOR","No","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","12-MAY-17","11-MAY-17","00:50:00Z","URBANA","ILLINOIS","UNITED STATES","AIRCRAFT STOPPED ON TAXIWAY, 1 PERSON ON BOARD SUSTAINED SERIOUS INJURIES UNDER UNKNOWN CIRCUMSTANCES, FRASCA AIRFIELD, URBANA, IL","ACCIDENT","SPRINGFIELD, IL","N922DN","","","RANS","S6S","No","UNKNOWN","UNKNOWN","TAXI (TXI)","","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-MAY-17","12-MAY-17","00:15:00Z","ORANGEVILLE","ILLINOIS","UNITED STATES","AIRCRAFT FORCE LANDED IN A FIELD UNDER UNKNOWN CIRCUMSTANCES, NEAR ORANGEVILLE, IL","INCIDENT","DES PLAINES","N1041N","","","EXPERIMENTAL ZODIAK","ZODIAK","No","UNKNOWN","UNKNOWN","UNKNOWN (UNK)","","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
